,popularity
valence,0.014200433403751555
year,0.8624420111063126
acousticness,-0.5731617749444469
danceability,0.19960616547095403
duration,0.059601845573570046
energy,0.48500503965325725
explicit,0.19154277307896836
instrumentalness,-0.2967502543259442
liveness,-0.07646407487238184
loudness,0.45705061592166224
mode,-0.028897057067006165
popularity,1.0
speechiness,-0.17197871776654972
tempo,0.13331015465969498
